projectname,classification,commenttext
apache-ant-1.7.0,DEFECT,// FIXME formatters are not thread-safe
apache-ant-1.7.0,DEFECT,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something."
apache-ant-1.7.0,DEFECT,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception."
apache-ant-1.7.0,DEFECT,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything."
apache-ant-1.7.0,DEFECT,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??
apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver
apache-ant-1.7.0,DEFECT,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows"
apache-ant-1.7.0,DEFECT,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.
apache-ant-1.7.0,DEFECT,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?"
apache-ant-1.7.0,DEFECT,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...
apache-ant-1.7.0,DEFECT,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.
apache-ant-1.7.0,DEFECT,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better."
apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver
apache-ant-1.7.0,DESIGN,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */"
apache-ant-1.7.0,DESIGN,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.
apache-ant-1.7.0,DESIGN,// XXX ignore attributes in a different NS ( maybe store them ? )
apache-ant-1.7.0,DESIGN,//borrowed from TokenFilterTest
apache-ant-1.7.0,DESIGN,// XXX Move to Project ( so it is shared by all helpers )
apache-ant-1.7.0,DESIGN,// What is the property supposed to be?
apache-ant-1.7.0,DESIGN,"// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name"
apache-ant-1.7.0,DESIGN,// there's a convenient xsltc class version but data are // private so use package information
apache-ant-1.7.0,DESIGN,// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped
apache-ant-1.7.0,DESIGN,// bingo append it. (this should normally not be done here)
apache-ant-1.7.0,DESIGN,// This is faintly ridiculous:
apache-ant-1.7.0,DESIGN,//cannot remove underscores due to protected visibility >:(
apache-ant-1.7.0,DESIGN,"// TODO not read, yet in a public setter"
apache-ant-1.7.0,DESIGN,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...
apache-ant-1.7.0,DESIGN,// not sure what could be the need of this...
apache-ant-1.7.0,DESIGN,// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?
apache-ant-1.7.0,DESIGN,"// Experimental/Testing, will be removed"
apache-ant-1.7.0,DESIGN,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had
